id,char,codepoint,pinyins_tone3,pinyins_display,script_type,gloss_en
13796,樣,U+6A23,yang4|xiang4,yàng|xiàng,traditional,"shape, form, pattern, style"
13797,樤,U+6A24,tiao2,tiáo,neutral,
13798,樥,U+6A25,peng2,péng,neutral,
13799,樦,U+6A26,zhu4,zhù,neutral,
13800,樧,U+6A27,sha1,shā,neutral,
13801,樨,U+6A28,xi1,xī,neutral,scrambled eggs
13802,権,U+6A29,quan2,quán,neutral,"power, right, authority"
13803,横,U+6A2A,heng2|heng4|guang1|guang4|huang2|huang4,héng|hèng|guāng|guàng|huáng|huàng,simplified,across
13804,樫,U+6A2B,jian1,jiān,traditional,evergreen oak
13805,樬,U+6A2C,cong1,cōng,neutral,
13806,樭,U+6A2D,ji1,jī,neutral,
13807,樮,U+6A2E,yan1,yān,neutral,
13808,樯,U+6A2F,qiang2,qiáng,simplified,"mast, yard-arm, boom"
13809,樰,U+6A30,xue3,xuě,neutral,
13810,樱,U+6A31,ying1,yīng,simplified,"cherry, cherry blossom"
13811,樲,U+6A32,er4|zhi4,èr|zhì,traditional,jujube
13812,樳,U+6A33,xun2,xún,traditional,tall tree
13813,樴,U+6A34,zhi2|yi4,zhí|yì,neutral,
13814,樵,U+6A35,qiao2,qiáo,neutral,woodcutter; firewood; gather wood
13815,樶,U+6A36,zui1,zuī,neutral,a wooden joint
13816,樷,U+6A37,cong2,cóng,neutral,bushy; a grove; crowded
13817,樸,U+6A38,pu3|pu2,pǔ|pú,traditional,"simple, honest; plain; rough"
13818,樹,U+6A39,shu4,shù,traditional,"tree; plant; set up, establish"
13819,樺,U+6A3A,hua4,huà,traditional,type of birch
13820,樻,U+6A3B,kui4,kuì,traditional,"cupboard, wardrobe, counter"
13821,樼,U+6A3C,zhen1,zhēn,neutral,
13822,樽,U+6A3D,zun1,zūn,neutral,"goblet; jar, jug; lush"
13823,樾,U+6A3E,yue4,yuè,neutral,the shade of trees
13824,樿,U+6A3F,shan4,shàn,traditional,coffin
13825,橀,U+6A40,xi1,xī,neutral,
13826,橁,U+6A41,chun1,chūn,neutral,tree
13827,橂,U+6A42,dian4,diàn,neutral,
13828,橃,U+6A43,fa2|fei4,fá|fèi,traditional,
13829,橄,U+6A44,gan3,gǎn,neutral,olive
13830,橅,U+6A45,mo2,mó,traditional,a beech tree
13831,橆,U+6A46,wu3|wu2,wǔ|wú,neutral,"without, apart from, none; a negative"
13832,橇,U+6A47,qiao1,qiāo,neutral,a sledge for transportation
13833,橈,U+6A48,rao2|nao2,ráo|náo,traditional,bent or twisted piece of wood; a paddle
13834,橉,U+6A49,lin4,lìn,neutral,
13835,橊,U+6A4A,liu2,liú,neutral,(variant of 榴) pomegranate
13836,橋,U+6A4B,qiao2|jiao1|jiao4|qiao1|jiao3,qiáo|jiāo|jiào|qiāo|jiǎo,traditional,"bridge; beam, crosspiece"
13837,橌,U+6A4C,xian4,xiàn,neutral,
13838,橍,U+6A4D,run4,rùn,neutral,
13839,橎,U+6A4E,fan2,fán,neutral,
13840,橏,U+6A4F,zhan3|jian3,zhǎn|jiǎn,neutral,
13841,橐,U+6A50,tuo2|du4|luo4,tuó|dù|luò,neutral,"a sack, a bag opening at both ends"
13842,橑,U+6A51,lao3|liao2,lǎo|liáo,neutral,
13843,橒,U+6A52,yun2,yún,neutral,wood streaks
13844,橓,U+6A53,shun4,shùn,neutral,hibiscus; transient
13845,橔,U+6A54,dun1|tui2,dūn|tuí,neutral,"withered, dried-up; cloth coffin-lid cover"
13846,橕,U+6A55,cheng1,chēng,neutral,a prop; a shore
13847,橖,U+6A56,tang2|cheng1,táng|chēng,neutral,
13848,橗,U+6A57,meng2,méng,neutral,
13849,橘,U+6A58,ju2,jú,neutral,"orange, tangerine"
13850,橙,U+6A59,cheng2|deng4|chen2,chéng|dèng|chén,neutral,orange
13851,橚,U+6A5A,su4|xiao1|qiu1,sù|xiāo|qiū,traditional,tall tree
13852,橛,U+6A5B,jue2,jué,neutral,"a post, a stake; an axle"
13853,橜,U+6A5C,jue2,jué,neutral,"a post, a stake; an axle"
13854,橝,U+6A5D,dian4|tan2|xin2,diàn|tán|xín,neutral,
13855,橞,U+6A5E,hui4,huì,neutral,
13856,機,U+6A5F,ji1,jī,traditional,"machine; moment, chance"
13857,橠,U+6A60,nuo3|nuo2,nuǒ|nuó,neutral,
13858,橡,U+6A61,xiang4,xiàng,neutral,chestnut oak; rubber tree; rubber
13859,橢,U+6A62,tuo3|duo3,tuǒ|duǒ,traditional,"oval-shaped, elliptical, tubular"
13860,橣,U+6A63,ning3,nǐng,neutral,
13861,橤,U+6A64,rui3,ruǐ,neutral,stamen
13862,橥,U+6A65,zhu1,zhū,simplified,"wooden peg, post or stick"
13863,橦,U+6A66,tong2|chuang2|zhong1|chong1,tóng|chuáng|zhōng|chōng,neutral,tree
13864,橧,U+6A67,zeng1|ceng2,zēng|céng,neutral,hut
13865,橨,U+6A68,fen2|fen4|fei4,fén|fèn|fèi,traditional,
13866,橩,U+6A69,qiong2,qióng,neutral,
13867,橪,U+6A6A,ran3|yan1,rǎn|yān,neutral,
13868,橫,U+6A6B,heng2,héng,traditional,"across, horizontal, lateral"
13869,橬,U+6A6C,qian2|qin2,qián|qín,neutral,
13870,橭,U+6A6D,gu1,gū,neutral,
13871,橮,U+6A6E,liu3,liǔ,neutral,
13872,橯,U+6A6F,lao4,lào,traditional,
13873,橰,U+6A70,gao1,gāo,neutral,a spar
13874,橱,U+6A71,chu2,chú,simplified,"cabinet, wardrobe, cupboard"
13875,橲,U+6A72,xi3,xǐ,neutral,
13876,橳,U+6A73,sheng4,shèng,neutral,
13877,橴,U+6A74,zi3,zǐ,neutral,place name
13878,橵,U+6A75,san,san,neutral,wood placed under roof tiles
13879,橶,U+6A76,ji2,jí,neutral,
13880,橷,U+6A77,dou1,dōu,neutral,
13881,橸,U+6A78,jing1,jīng,neutral,
13882,橹,U+6A79,lu3,lǔ,simplified,"oar, scull; row, scull"
13883,橺,U+6A7A,jian,jian,neutral,(Cant.) a partition; to separate
13884,橻,U+6A7B,chu,chu,neutral,
13885,橼,U+6A7C,yuan2,yuán,simplified,citrus
13886,橽,U+6A7D,ta4,tà,neutral,
13887,橾,U+6A7E,shu1|qiao1|sao1,shū|qiāo|sāo,neutral,the hole in the center of a wheel accommodating the axle (archaic)
13888,橿,U+6A7F,jiang1,jiāng,neutral,a kind of oak
13889,檀,U+6A80,tan2|shan4,tán|shàn,neutral,"sandalwood, hardwood; surname"
13890,檁,U+6A81,lin3,lǐn,traditional,the bole of a tree; a cross beam; the combing round the hatches of a ship
13891,檂,U+6A82,nong2,nóng,traditional,
13892,檃,U+6A83,yin3,yǐn,neutral,
13893,檄,U+6A84,xi2,xí,neutral,call arms; urgency
13894,檅,U+6A85,hui4,huì,neutral,
13895,檆,U+6A86,shan1,shān,neutral,
13896,檇,U+6A87,zui4,zuì,neutral,wooden rammer or pestle; place
13897,檈,U+6A88,xuan2,xuán,neutral,
13898,檉,U+6A89,cheng1,chēng,traditional,type of willow; tamarisk
13899,檊,U+6A8A,gan4,gàn,neutral,
13900,檋,U+6A8B,ju2,jú,traditional,
13901,檌,U+6A8C,zui4,zuì,neutral,
13902,檍,U+6A8D,yi4,yì,neutral,ilex
13903,檎,U+6A8E,qin2,qín,neutral,small red apple
13904,檏,U+6A8F,pu3,pǔ,neutral,
13905,檐,U+6A90,yan2|dan1,yán|dān,neutral,"eaves of house; brim, rim"
13906,檑,U+6A91,lei2|lei4,léi|lèi,neutral,logs rolled down to defend a city
13907,檒,U+6A92,feng1,fēng,traditional,
13908,檓,U+6A93,hui3,huǐ,neutral,
13909,檔,U+6A94,dang4|dang1,dàng|dāng,traditional,"shelf; frame, crosspiece"
13910,檕,U+6A95,ji4,jì,neutral,
13911,檖,U+6A96,sui4,suì,neutral,wild pear tree
13912,檗,U+6A97,bo4|bi4,bò|bì,neutral,a cork tree
13913,檘,U+6A98,ping2|bo4,píng|bò,neutral,
13914,檙,U+6A99,cheng2,chéng,neutral,
13915,檚,U+6A9A,chu3,chǔ,neutral,
13916,檛,U+6A9B,zhua1,zhuā,traditional,"a switch, whip"
13917,檜,U+6A9C,gui4|kuai4|hui4,guì|kuài|huì,traditional,"Chinese cypress, Chinese juniper"
13918,檝,U+6A9D,ji2,jí,neutral,oar
13919,檞,U+6A9E,jie3|xie4,jiě|xiè,neutral,a kind of oak
13920,檟,U+6A9F,jia3,jiǎ,traditional,small evergreen shrub
13921,檠,U+6AA0,qing2|jing4,qíng|jìng,neutral,stand for lamp; frame for bow
13922,檡,U+6AA1,zhai2|shi4|tu2,zhái|shì|tú,traditional,
13923,檢,U+6AA2,jian3,jiǎn,traditional,check; examine
13924,檣,U+6AA3,qiang2,qiáng,traditional,"mast, yard-arm, boom"
13925,檤,U+6AA4,dao4,dào,neutral,
13926,檥,U+6AA5,yi3,yǐ,traditional,(variant of 艤) to moor a boat to the bank
13927,檦,U+6AA6,biao3,biǎo,neutral,
13928,檧,U+6AA7,song1,sōng,neutral,
13929,檨,U+6AA8,she1,shē,neutral,mango
13930,檩,U+6AA9,lin3,lǐn,simplified,the bole of a tree; a cross beam; the combing round the hatches of a ship
13931,檪,U+6AAA,li4,lì,neutral,chestnut-leaved oak; oak
13932,檫,U+6AAB,cha2|sa4,chá|sà,neutral,sassafras tzumu
13933,檬,U+6AAC,meng2,méng,neutral,type of locust tree or acacia
13934,檭,U+6AAD,yin2,yín,traditional,
13935,檮,U+6AAE,tao2|chou2|dao4,táo|chóu|dào,traditional,block of wood; blockhead; stupid
13936,檯,U+6AAF,tai2,tái,traditional,table
13937,檰,U+6AB0,mian2,mián,traditional,
13938,檱,U+6AB1,qi2,qí,neutral,
13939,檲,U+6AB2,tuan2,tuán,traditional,
13940,檳,U+6AB3,bin1|bing1,bīn|bīng,traditional,"betel-nut, areca nut"
13941,檴,U+6AB4,huo4|hua4,huò|huà,neutral,tree
13942,檵,U+6AB5,ji4,jì,traditional,"Loropetalum chinense, Chinese fringe flower"
13943,檶,U+6AB6,qian1,qiān,neutral,
13944,檷,U+6AB7,ni3|mi2,nǐ|mí,neutral,
13945,檸,U+6AB8,ning2,níng,traditional,lemon
13946,檹,U+6AB9,yi1,yī,neutral,
13947,檺,U+6ABA,gao3,gǎo,neutral,
13948,檻,U+6ABB,kan3|jian4,kǎn|jiàn,traditional,"threshold, door-sill"
13949,檼,U+6ABC,yin4,yìn,neutral,ridge pole; shape wood by use of heat; tool for shaping bent wood
13950,檽,U+6ABD,nou4|ruan3|ru2,nòu|ruǎn|rú,neutral,
13951,檾,U+6ABE,qing3,qǐng,traditional,grassy plant with fibres from which cloth is made
13952,檿,U+6ABF,yan3,yǎn,traditional,mulberry
13953,櫀,U+6AC0,qi2,qí,neutral,
13954,櫁,U+6AC1,mi4,mì,neutral,
13955,櫂,U+6AC2,zhao4|di2,zhào|dí,neutral,"oar, scull, paddle; row"
13956,櫃,U+6AC3,gui4,guì,traditional,"cupboard, wardrobe, counter"
13957,櫄,U+6AC4,chun1,chūn,neutral,
13958,櫅,U+6AC5,ji1|ji4,jī|jì,traditional,a kind of tree suitable for use to make axles for large carts
13959,櫆,U+6AC6,kui2,kuí,neutral,"Polaris, the north star"
13960,櫇,U+6AC7,po2,pó,neutral,
13961,櫈,U+6AC8,deng4,dèng,neutral,bench; stool
13962,櫉,U+6AC9,chu2,chú,neutral,
13963,櫊,U+6ACA,ge2,gé,neutral,
13964,櫋,U+6ACB,mian2,mián,neutral,
13965,櫌,U+6ACC,you1,yōu,neutral,a kind of hoe
13966,櫍,U+6ACD,zhi4,zhì,traditional,
13967,櫎,U+6ACE,huang3|guang4|guo3|gu3,huǎng|guàng|guǒ|gǔ,traditional,
13968,櫏,U+6ACF,qian1,qiān,traditional,
13969,櫐,U+6AD0,lei3,lěi,neutral,
13970,櫑,U+6AD1,lei2|lei3,léi|lěi,neutral,
13971,櫒,U+6AD2,sa4,sà,neutral,
13972,櫓,U+6AD3,lu3,lǔ,traditional,"oar, scull; row"
13973,櫔,U+6AD4,li4,lì,neutral,
13974,櫕,U+6AD5,cuan2,cuán,neutral,
13975,櫖,U+6AD6,lv4|chu1,lǜ|chū,neutral,
13976,櫗,U+6AD7,mie4|mei4,miè|mèi,neutral,
13977,櫘,U+6AD8,hui4,huì,neutral,
13978,櫙,U+6AD9,ou1,ōu,neutral,
13979,櫚,U+6ADA,lv2,lǘ,traditional,palm
13980,櫛,U+6ADB,zhi4,zhì,traditional,"comb out; weed out, eliminate"
13981,櫜,U+6ADC,gao1,gāo,neutral,quiver (case for arrows)
13982,櫝,U+6ADD,du2,dú,traditional,"cabinet, wardrobe; closet"
13983,櫞,U+6ADE,yuan2,yuán,traditional,citrus
13984,櫟,U+6ADF,li4|luo4|yue4,lì|luò|yuè,traditional,chestnut-leaved oak; oak
13985,櫠,U+6AE0,fei4,fèi,traditional,
13986,櫡,U+6AE1,zhuo2|zhu4,zhuó|zhù,neutral,
13987,櫢,U+6AE2,sou3,sǒu,traditional,
13988,櫣,U+6AE3,lian2,lián,neutral,
13989,櫤,U+6AE4,jiang4,jiàng,neutral,
13990,櫥,U+6AE5,chu2,chú,traditional,"cabinet, wardrobe, cupboard"
13991,櫦,U+6AE6,qing4,qìng,traditional,
13992,櫧,U+6AE7,zhu1,zhū,traditional,Oak
13993,櫨,U+6AE8,lu2|lv2,lú|lǘ,traditional,"supporting block; sumac, loquat"
13994,櫩,U+6AE9,yan2|yan3,yán|yǎn,traditional,
13995,櫪,U+6AEA,li4,lì,traditional,type of oak; stable
13996,櫫,U+6AEB,zhu1,zhū,traditional,"wooden peg, post or stick"
13997,櫬,U+6AEC,chen4|qin4|guan4,chèn|qìn|guàn,traditional,coffin; tung tree
13998,櫭,U+6AED,jie2|ji4,jié|jì,neutral,
13999,櫮,U+6AEE,e4,è,neutral,
14000,櫯,U+6AEF,su1,sū,traditional,
14001,櫰,U+6AF0,huai2|gui1,huái|guī,neutral,
14002,櫱,U+6AF1,nie4,niè,traditional,"stump, sprout"
14003,櫲,U+6AF2,yu4,yù,neutral,
14004,櫳,U+6AF3,long2,lóng,traditional,"cage, pen; set of bars"
14005,櫴,U+6AF4,lai4,lài,traditional,
14006,櫵,U+6AF5,jiao,jiao,neutral,
14007,櫶,U+6AF6,xian3,xiǎn,traditional,Excentrodendron hsienmu
14008,櫷,U+6AF7,gui1,guī,neutral,
14009,櫸,U+6AF8,ju3,jǔ,traditional,type of elm
14010,櫹,U+6AF9,xiao1|qiu1|xiu1,xiāo|qiū|xiū,traditional,
14011,櫺,U+6AFA,ling2,líng,neutral,carved or patterned window sills
14012,櫻,U+6AFB,ying1,yīng,traditional,"cherry, cherry blossom"
14013,櫼,U+6AFC,jian1|shan1,jiān|shān,neutral,wedge
14014,櫽,U+6AFD,yin3,yǐn,traditional,shape wood by use of heat; tool for shaping bent wood
14015,櫾,U+6AFE,you2|you4,yóu|yòu,neutral,the pomelo
14016,櫿,U+6AFF,ying2,yíng,neutral,
14017,欀,U+6B00,xiang1|rang4,xiāng|ràng,neutral,
14018,欁,U+6B01,nong2,nóng,neutral,
14019,欂,U+6B02,bo2,bó,neutral,
14020,欃,U+6B03,chan2|zhan4,chán|zhàn,neutral,sandalwood; comet
14021,欄,U+6B04,lan2|lian4,lán|liàn,traditional,"railing, balustrade; animal pen"
14022,欅,U+6B05,ju3,jǔ,neutral,zelkova
14023,欆,U+6B06,shuang1,shuāng,traditional,
14024,欇,U+6B07,she4,shè,traditional,
14025,欈,U+6B08,wei2|zui4,wéi|zuì,neutral,
14026,欉,U+6B09,cong2,cóng,neutral,
14027,權,U+6B0A,quan2|guan4,quán|guàn,traditional,"power, right, authority"
14028,欋,U+6B0B,qu2,qú,neutral,to wave; fool; urge
14029,欌,U+6B0C,cang2,cáng,neutral,
14030,欍,U+6B0D,jiu4,jiù,traditional,
14031,欎,U+6B0E,yu4,yù,neutral,
14032,欏,U+6B0F,luo2|luo3,luó|luǒ,traditional,the horse-chestnut
14033,欐,U+6B10,li4|li3,lì|lǐ,traditional,beam
14034,欑,U+6B11,cuan2|zuan4,cuán|zuàn,traditional,gather
14035,欒,U+6B12,luan2,luán,traditional,name of tree; a part of cornice
14036,欓,U+6B13,dang3|tang3,dǎng|tǎng,traditional,"a cross-piece, as the round of a ladder, the rail of a chair; shelves; pigeonholes"
14037,欔,U+6B14,jue2,jué,neutral,
14038,欕,U+6B15,yan2,yán,neutral,tree name
14039,欖,U+6B16,lan3,lǎn,traditional,olive
14040,欗,U+6B17,lan2,lán,neutral,
14041,欘,U+6B18,zhu2,zhú,traditional,
14042,欙,U+6B19,lei2|luo3,léi|luǒ,neutral,sedan
14043,欚,U+6B1A,li3,lǐ,neutral,
14044,欛,U+6B1B,ba4,bà,neutral,a handle
14045,欜,U+6B1C,nang2,náng,neutral,
14046,欝,U+6B1D,yu4,yù,neutral,"luxuriant; dense, thick; moody"
14047,欞,U+6B1E,ling2,líng,traditional,"the lattice of a window a sill, a lintel"
14048,欟,U+6B1F,guang,guang,neutral,
14049,欠,U+6B20,qian4,qiàn,neutral,"owe, lack, be deficient; Kangxi radical 76"
14050,次,U+6B21,ci4|zi1|ci2,cì|zī|cí,neutral,"order, sequence; next"
14051,欢,U+6B22,huan1,huān,neutral,"happy, pleased, glad; joy; enjoy"
14052,欣,U+6B23,xin1,xīn,neutral,"happy, joyous, delighted"
14053,欤,U+6B24,yu2,yú,neutral,"a final particle used to express admiration, doubt, surprise, or to mark a question"
14054,欥,U+6B25,yi4|huan1|yu4,yì|huān|yù,neutral,
14055,欦,U+6B26,qian1|han1|xian1|qian2,qiān|hān|xiān|qián,neutral,
14056,欧,U+6B27,ou1,ōu,simplified,translit.: Europe; ohm; surname
14057,欨,U+6B28,xu1,xū,neutral,to blow or breathe upon; to smile
14058,欩,U+6B29,chao1,chāo,neutral,
14059,欪,U+6B2A,chu4|xi4|qu4,chù|xì|qù,neutral,
14060,欫,U+6B2B,qi4,qì,neutral,
14061,欬,U+6B2C,kai4|ai4,kài|ài,neutral,cough; sound of laughter
14062,欭,U+6B2D,yi4|yin1,yì|yīn,neutral,
14063,欮,U+6B2E,jue2,jué,neutral,to hiccough; to dig out to expand
14064,欯,U+6B2F,xi4|kai4,xì|kài,neutral,
14065,欰,U+6B30,xu4,xù,neutral,
14066,欱,U+6B31,he1|xia2,hē|xiá,neutral,to drink
14067,欲,U+6B32,yu4,yù,neutral,"desire, want, long for; intend"
14068,欳,U+6B33,kui4,kuì,neutral,
14069,欴,U+6B34,lang2,láng,neutral,
14070,欵,U+6B35,kuan3,kuǎn,neutral,to treat well; to detain
14071,欶,U+6B36,shuo4|sou4,shuò|sòu,neutral,to suck in
14072,欷,U+6B37,xi1,xī,neutral,sob; sigh
14073,欸,U+6B38,ai1|ai3|ê1|ê2|ê3|ê4|xie4|ei2|ei3|ei4|ei1,āi|ǎi|ê̄|ế|ê̌|ề|xiè|éi|ěi|èi|ēi,neutral,sigh; an exclamatory sound
14074,欹,U+6B39,yi1|qi1,yī|qī,neutral,fierce dog; interjection of pleas; (Cant.) strange
14075,欺,U+6B3A,qi1,qī,neutral,"cheat, double-cross, deceive"
14076,欻,U+6B3B,chua1|xu1|hu1,chuā|xū|hū,neutral,"sudden, abrupt, quick"
14077,欼,U+6B3C,chi3|chuai4,chǐ|chuài,neutral,drink; (Cant.) to use one's teeth and hands to break something such as a string
14078,欽,U+6B3D,qin1|qin4|yin2,qīn|qìn|yín,traditional,"respect, admire; respectful"
14079,款,U+6B3E,kuan3|xin1,kuǎn|xīn,neutral,"item, article; clause; fund"
14080,欿,U+6B3F,kan3|qian4|dan4,kǎn|qiàn|dàn,neutral,discontented; sad; gloomy
14081,歀,U+6B40,kuan3,kuǎn,neutral,"(same as 款) an item, article; clause, fund"
14082,歁,U+6B41,kan3|ke4|qian3,kǎn|kè|qiǎn,neutral,
14083,歂,U+6B42,chuan3|chuan2,chuǎn|chuán,neutral,
14084,歃,U+6B43,sha4|xia2,shà|xiá,neutral,smear one's mouth with blood of a victim when taking an oath
14085,歄,U+6B44,gua1,guā,traditional,
14086,歅,U+6B45,yin1,yīn,neutral,
14087,歆,U+6B46,xin1,xīn,neutral,"like, admire; willingly, gladly; to quicken"
14088,歇,U+6B47,xie1|ya4,xiē|yà,neutral,"rest, stop, lodge"
14089,歈,U+6B48,yu2,yú,neutral,songs
14090,歉,U+6B49,qian4,qiàn,neutral,"deficient, lacking, insufficient"
14091,歊,U+6B4A,xiao1,xiāo,neutral,sigh
14092,歋,U+6B4B,ye4,yè,neutral,
14093,歌,U+6B4C,ge1,gē,neutral,"song, lyrics; sing, chant; praise"
14094,歍,U+6B4D,wu1|yang1,wū|yāng,traditional,
14095,歎,U+6B4E,tan4,tàn,neutral,"sigh, admire"
14096,歏,U+6B4F,jin4|qun1,jìn|qūn,neutral,
14097,歐,U+6B50,ou1|ou3,ōu|ǒu,traditional,"used in transliterating non-Chinese words such as Europe, ohm; surname"
14098,歑,U+6B51,hu1,hū,neutral,
14099,歒,U+6B52,ti4|xiao1,tì|xiāo,neutral,
14100,歓,U+6B53,huan1,huān,neutral,"happy, pleased, glad; joy; enjoy"
14101,歔,U+6B54,xu1,xū,neutral,"blow through nose, snort"
14102,歕,U+6B55,pen1,pēn,traditional,"spurt, blow out, puff out"
14103,歖,U+6B56,xi3|yi3,xǐ|yǐ,neutral,
14104,歗,U+6B57,xiao4,xiào,traditional,"roar, howl, scream; whistle"
14105,歘,U+6B58,chua1|xu1,chuā|xū,neutral,sudden
14106,歙,U+6B59,she4|xi1|xie2,shè|xī|xié,neutral,to suck; a county's name in anhui
14107,歚,U+6B5A,shan4,shàn,neutral,used in name of famous Korean painter Ceng Sen
14108,歛,U+6B5B,han1|lian3,hān|liǎn,traditional,"draw back, fold back; collect"
14109,歜,U+6B5C,chu4,chù,neutral,furious; wrathful
14110,歝,U+6B5D,yi4,yì,neutral,
14111,歞,U+6B5E,e4,è,traditional,
14112,歟,U+6B5F,yu2,yú,traditional,"a final particle used to express admiration, doubt, surprise, or to mark a question"
14113,歠,U+6B60,chuo4,chuò,neutral,"sip, drink, suck"
14114,歡,U+6B61,huan1,huān,traditional,"happy, pleased, glad; joy; to enjoy"
14115,止,U+6B62,zhi3,zhǐ,neutral,"stop, halt, desist; detain"
14116,正,U+6B63,zheng4|zheng1,zhèng|zhēng,neutral,"right, proper, correct"
14117,此,U+6B64,ci3,cǐ,neutral,"this, these; in this case, then"
14118,步,U+6B65,bu4,bù,neutral,"step, pace; walk, stroll"
14119,武,U+6B66,wu3,wǔ,neutral,"military; martial, warlike"
14120,歧,U+6B67,qi2,qí,neutral,fork of road; branching off
14121,歨,U+6B68,bu4,bù,neutral,
14122,歩,U+6B69,bu4,bù,neutral,step
14123,歪,U+6B6A,wai1|wai3,wāi|wǎi,neutral,"slant; inclined; askew, awry"
14124,歫,U+6B6B,ju4,jù,neutral,
14125,歬,U+6B6C,qian2,qián,neutral,
14126,歭,U+6B6D,chi2|zhi4,chí|zhì,neutral,
14127,歮,U+6B6E,se4,sè,neutral,
14128,歯,U+6B6F,chi3,chǐ,neutral,"teeth; gears, cogs; age; a form of Kangxi radical 211"
14129,歰,U+6B70,se4|sha4,sè|shà,neutral,"(Cant.) 歰氣 to argue, wrangle, disagree"
14130,歱,U+6B71,zhong3,zhǒng,neutral,to visit; to imitate
14131,歲,U+6B72,sui4|suo4,suì|suò,traditional,year; age; harvest
14132,歳,U+6B73,sui4,suì,neutral,year; age; harvest
14133,歴,U+6B74,li4,lì,neutral,"take place, past, history"
14134,歵,U+6B75,ze2,zé,neutral,
14135,歶,U+6B76,yu2,yú,neutral,
14136,歷,U+6B77,li4,lì,traditional,history; past; to take place
14137,歸,U+6B78,gui1|kui4|kui2,guī|kuì|kuí,traditional,"return; return to, revert to"
14138,歹,U+6B79,dai3|e4|dai1,dǎi|è|dāi,neutral,"bad, vicious, depraved, wicked"
14139,歺,U+6B7A,e4,è,neutral,"vicious, depraved, bad"
14140,死,U+6B7B,si3,sǐ,neutral,die; dead; death
14141,歼,U+6B7C,jian1,jiān,simplified,"annihilate, wipe out, kill off"
14142,歽,U+6B7D,zhe2,zhé,neutral,
14143,歾,U+6B7E,mo4|wen3,mò|wěn,neutral,drown
14144,歿,U+6B7F,mo4,mò,traditional,die; death; dead
14145,殀,U+6B80,yao1,yāo,neutral,"die young, die prematurely"
14146,殁,U+6B81,mo4|wen3,mò|wěn,simplified,die; death; dead
14147,殂,U+6B82,cu2,cú,neutral,to die
14148,殃,U+6B83,yang1,yāng,neutral,"misfortune, disaster, calamity"
14149,殄,U+6B84,tian3,tiǎn,neutral,to end; to exterminate
14150,殅,U+6B85,sheng1,shēng,neutral,
14151,殆,U+6B86,dai4,dài,neutral,"dangerous, perilous; endanger"
14152,殇,U+6B87,shang1,shāng,simplified,die young; national mourning
14153,殈,U+6B88,xu4,xù,neutral,infertile
14154,殉,U+6B89,xun4,xùn,neutral,"die for cause, be martyr for"
14155,殊,U+6B8A,shu1,shū,neutral,"different, special, unusual"
14156,残,U+6B8B,can2,cán,simplified,"injure, spoil; oppress; broken"
14157,殌,U+6B8C,jue2,jué,neutral,
14158,殍,U+6B8D,piao3|bi4,piǎo|bì,neutral,to starve to death
14159,殎,U+6B8E,qia4,qià,neutral,
14160,殏,U+6B8F,qiu2,qiú,neutral,
14161,殐,U+6B90,su4,sù,neutral,
14162,殑,U+6B91,qing2|jing1|jing4,qíng|jīng|jìng,neutral,swoon
14163,殒,U+6B92,yun3,yǔn,simplified,"die, perish; vanish; fall"
14164,殓,U+6B93,lian4,liàn,simplified,dress corpse for burial
14165,殔,U+6B94,yi4,yì,neutral,
14166,殕,U+6B95,fou3|ye4|bo2,fǒu|yè|bó,neutral,
14167,殖,U+6B96,zhi2|shi|shi4,zhí|shi|shì,neutral,"breed, spawn; increase; prosper"
14168,殗,U+6B97,ye4|yan4|yan1,yè|yàn|yān,neutral,sickness; repeated
14169,殘,U+6B98,can2,cán,traditional,"injure, spoil; oppress; broken"
14170,殙,U+6B99,hun1|men4,hūn|mèn,neutral,to die by taking poison
14171,殚,U+6B9A,dan1,dān,simplified,"utmost, entirely, quite; use up"
14172,殛,U+6B9B,ji2,jí,neutral,to put to death to imprison for life
14173,殜,U+6B9C,die2,dié,neutral,"half-sitting, half-reclining"
14174,殝,U+6B9D,zhen1,zhēn,neutral,
14175,殞,U+6B9E,yun3,yǔn,traditional,"die, perish; vanish; fall"
14176,殟,U+6B9F,wen1,wēn,neutral,
14177,殠,U+6BA0,chou4,chòu,neutral,
14178,殡,U+6BA1,bin4,bìn,neutral,encoffin; embalm; funeral
14179,殢,U+6BA2,ti4,tì,traditional,"be in great difficulty, greatly"
14180,殣,U+6BA3,jin4,jìn,neutral,die; death; to starve to death
14181,殤,U+6BA4,shang1,shāng,traditional,die young; national mourning
14182,殥,U+6BA5,yin2,yín,neutral,a far or distant place
14183,殦,U+6BA6,diao1,diāo,neutral,
14184,殧,U+6BA7,jiu4,jiù,neutral,
14185,殨,U+6BA8,hui4|kui4,huì|kuì,traditional,to open as an ulcer or sore
14186,殩,U+6BA9,cuan4,cuàn,neutral,
14187,殪,U+6BAA,yi4,yì,neutral,"die; kill, exterminate"
14188,殫,U+6BAB,dan1,dān,traditional,"utmost, entirely, quite; use up"
14189,殬,U+6BAC,du4,dù,neutral,
14190,殭,U+6BAD,jiang1,jiāng,neutral,a stiff corpse
14191,殮,U+6BAE,lian4,liàn,traditional,dress corpse for burial
14192,殯,U+6BAF,bin4,bìn,traditional,encoffin; embalm; funeral
14193,殰,U+6BB0,du2,dú,traditional,an abortion; stillborn
14194,殱,U+6BB1,jian1,jiān,neutral,"annihilate, wipe out, kill off"
