id,char,codepoint,pinyins,script_type,variants,gloss_en,examples,hsk_level
893,兼,U+517C,jiān(40),neutral,,double,不兼容性|內外兼修|内外兼修,7-9
894,兽,U+517D,shòu(40),simplified,獸,beast,一逞兽欲|人面兽心|作鸟兽散,7-9
895,兾,U+517E,jì,neutral,,,,
896,兿,U+517F,yì,neutral,,,,
897,冀,U+5180,jì,neutral,,short name for Hebei 河北[He2 bei3],京津冀|冀州|冀州區,
898,冁,U+5181,chǎn,simplified,囅,smilingly,,
899,冂,U+5182,jiōng|jiǒng,neutral,,"radical in Chinese characters (Kangxi radical 13), occurring in 用[yong4], 同[tong2], 網|网[wang3] etc, referred to as 同字框[tong2 zi4 kuang4]",,
900,冃,U+5183,mào,neutral,,old variant of 帽[mao4],,
901,冄,U+5184,rǎn,neutral,,variant of 冉[ran3],,
902,内,U+5185,nèi(1434)|nà|ruì,neutral,內,inside,U凸内裤|丁内酯|之内,3
903,円,U+5186,yuán,neutral,,yen (Japanese currency),,
904,冇,U+5187,mǎo,neutral,,to not have (Cantonese) (Mandarin equivalent: 沒有|没有[mei2 you3]),,
905,冈,U+5188,gāng(37),simplified,岡,ridge,井冈山|井冈山市|佛冈,7-9
906,冉,U+5189,rǎn|nán|dān,neutral,,variant of 冉[ran3],冉冉|冉冉上升,
907,冊,U+518A,cè(21),traditional,册,book,冊亨|冊亨縣|冊子,5
908,冋,U+518B,jiōng|jiǒng,neutral,,old variant of 坰[jiong1],,
909,册,U+518C,cè(21)|zhà,neutral,冊,book,册亨|册亨县|册子,5
910,再,U+518D,zài(1697),neutral,,again; once more; re-,一再|一改再改|一犯再犯,1
911,冎,U+518E,guǎ,neutral,,,,
912,冏,U+518F,jiǒng|jiōng,neutral,,"velvetleaf (Abutilon avicennae), plant of the jute family",冏卿|冏寺|冏徹,
913,冐,U+5190,mào,neutral,,old variant of 冒[mao4],,
914,冑,U+5191,zhòu,neutral,,variant of 胄[zhou4],甲冑,
915,冒,U+5192,mào(187)|mò,neutral,,old variant of 冒[mao4],不揣冒昧|仿冒|仿冒品,3
916,冓,U+5193,gòu|gōu,neutral,,inner rooms of palace,,
917,冔,U+5194,xǔ,neutral,,cap of Yin dynasty,,
918,冕,U+5195,miǎn,neutral,,crown in the form of a horizontal board with hanging decorations,冕冠|冕寧|冕宁,
919,冖,U+5196,mì,neutral,,"""cover"" radical in Chinese characters (Kangxi radical 14), occurring in 軍|军[jun1], 冠[guan1] etc, known as 禿寶蓋|秃宝盖[tu1 bao3 gai4] or 平寶蓋|平宝盖[ping2 bao3 gai4]",,
920,冗,U+5197,rǒng,neutral,,extraneous,冗位|冗兵|冗冗,7-9
921,冘,U+5198,yín|yóu,neutral,,to go forward,冘疑|冘豫,
922,写,U+5199,xiě(1171),simplified,寫,to write,不区分大小写|乱写|人物描写,1
923,冚,U+519A,kǎn,neutral,,,,
924,军,U+519B,jūn(1842),simplified,軍,(bound form) army,一个将军一个令|三军|三军用命,5
925,农,U+519C,nóng(1281),simplified,農,surname Nong,三农|三农问题|上农,3
926,冝,U+519D,yí,neutral,,,,
927,冞,U+519E,mí,neutral,,deep,,
928,冟,U+519F,shì,neutral,,,,
929,冠,U+51A0,guān|guàn,neutral,,surname Guan,2019冠狀病毒病|2019冠状病毒病|不定冠詞,5
930,冡,U+51A1,méng,neutral,,old variant of 蒙[meng2],,
931,冢,U+51A2,zhǒng,neutral,,mound,叢冢|丛冢|冢中枯骨,
932,冣,U+51A3,jù,neutral,,old variant of 聚[ju4],,
933,冤,U+51A4,yuān(48),neutral,,injustice,不是冤家不聚頭|不是冤家不聚头|不白之冤,7-9
934,冥,U+51A5,míng|mián|miàn,neutral,,old variant of 冥[ming2],冥冥之中|冥合|冥婚,
935,冦,U+51A6,kòu,neutral,,,,
936,冧,U+51A7,lín,neutral,,(Cantonese) to topple,,
937,冨,U+51A8,fù,neutral,,,,
938,冩,U+51A9,xiě,neutral,,,,
939,冪,U+51AA,mì,traditional,幂,(math.) power; exponent,三次冪|乘冪|冪等,
940,冫,U+51AB,bīng,neutral,,"""ice"" radical in Chinese characters (Kangxi radical 15), occurring in 冰[bing1], 次[ci4] etc, known as 兩點水|两点水[liang3 dian3 shui3]",,
941,冬,U+51AC,dōng(272),neutral,鼕,winter,丁冬|亞冬會|亚冬会,2
942,冭,U+51AD,tài,neutral,,,,
943,冮,U+51AE,gāng,neutral,,surname Gang,,
944,冯,U+51AF,féng|píng,simplified,馮,surname Feng,暴虎冯河|冯内果|冯友兰,7-9
945,冰,U+51B0,bīng(167)|níng,neutral,,ice,乾冰|干冰|冰上運動,4
946,冱,U+51B1,hù,neutral,,congealed,,
947,冲,U+51B2,chōng(428)|chòng(33),neutral,沖|衝,(of water) to dash against,俯冲|倪嗣冲|光冲量,4
948,决,U+51B3,jué(1503),simplified,決,to decide,一决雌雄|下定决心|下决心,3
949,冴,U+51B4,hù,neutral,,,,
950,况,U+51B5,kuàng(719),neutral,況,moreover,何况|健康状况|境况,3
951,冶,U+51B6,yě(61),neutral,,to smelt,冶天|冶容|冶煉,7-9
952,冷,U+51B7,lěng(453)|lǐng,neutral,,surname Leng,冰冷|冰炭不言，冷熱自明|冰炭不言，冷热自明,1
953,冸,U+51B8,pàn,neutral,,,,
954,冹,U+51B9,fú,neutral,,,,
955,冺,U+51BA,mǐn,neutral,,variant of 泯[min3],,
956,冻,U+51BB,dòng(133),simplified,凍,to freeze,不冻港|不冻港口|冰冻,5
957,冼,U+51BC,shěng|xiǎn,neutral,,surname Xian,冼星海,
958,冽,U+51BD,liè,neutral,,cold and raw,冷冽|凜冽|凛冽,
959,冾,U+51BE,qià,neutral,,,,
960,冿,U+51BF,jiān,neutral,,,,
961,净,U+51C0,jìng(152)|chēng,simplified,凈,variant of 淨|净[jing4],一干二净|不干不净|不干不净，吃了没病,1
962,凁,U+51C1,sōu,neutral,,,,
963,凂,U+51C2,měi,neutral,,,,
964,凃,U+51C3,tú,neutral,,old variant of 涂[tu2],,
965,凄,U+51C4,qī(16),neutral,,intense cold,凄梗|悲凄|凄哀,7-9
966,凅,U+51C5,gù,neutral,,dried up,,
967,准,U+51C6,zhǔn(897),neutral,準,to allow,一准|不准|不准許,1
968,凇,U+51C7,sōng,neutral,,icicle,雨凇|霧凇|雾凇,
969,凈,U+51C8,jìng,traditional,净,variant of 淨|净[jing4],凈心修身|凈身|凈身出戶,1
970,凉,U+51C9,liáng(129),neutral,涼,"the five Liang of the Sixteen Kingdoms, namely: Former Liang 前涼|前凉 (314-376), Later Liang 後涼|后凉 (386-403), Northern Liang 北涼|北凉 (398-439), Southern Liang 南涼|南凉[Nan2 Liang2] (397-414), Western Liang 西涼|西凉 (400-421)",世态炎凉|乘凉|五凉,2
971,凊,U+51CA,qìng,neutral,,(literary) cold; cool; chilly,,
972,凋,U+51CB,diāo,neutral,,withered,凋敝|凋落|凋謝,
973,凌,U+51CC,lìng|líng,neutral,,surname Ling,以強凌弱|以强凌弱|傲雪凌霜,7-9
974,凍,U+51CD,dòng(133),traditional,冻,to freeze,不凍港|不凍港口|冰凍,5
975,凎,U+51CE,gàn,neutral,,,,
976,减,U+51CF,jiǎn(300),neutral,減,to lower,不减当年|偷工减料|光纤衰减,4
977,凐,U+51D0,yīn,neutral,,,,
978,凑,U+51D1,còu(69),neutral,湊,"to gather together, pool or collect",七拼八凑|不凑巧|拼凑,7-9
979,凒,U+51D2,ái,neutral,,,,
980,凓,U+51D3,lì,neutral,,cold,,
981,凔,U+51D4,cāng|chuàng,traditional,𰃷,cold,,
982,凕,U+51D5,mǐng,neutral,,,,
983,凖,U+51D6,zhǔn,neutral,,,,
984,凗,U+51D7,cuī,neutral,,,,
985,凘,U+51D8,sī,neutral,,,,
986,凙,U+51D9,duó,traditional,𪞝,,,
987,凚,U+51DA,jìn,neutral,,,,
988,凛,U+51DB,lǐn,simplified,凜,cold,凛冽|凛遵|大义凛然,
989,凜,U+51DC,lǐn,traditional,凛,cold,凜冽|凜遵|大義凜然,
990,凝,U+51DD,níng(138),neutral,,to congeal,冰凝器|凝冰|凝固,7-9
991,凞,U+51DE,xī,neutral,,bright,,
992,凟,U+51DF,dú,traditional,𰃿,variant of 瀆|渎[du2],,
993,几,U+51E0,jǐ(2523)|jī(216),neutral,幾,small table,一蹴可几|不拉几|不知凡几,1
994,凡,U+51E1,fán(135),neutral,,ordinary,下凡|不凡|不同凡響,6
995,凢,U+51E2,fán,neutral,,variant of 凡[fan2],,
996,凣,U+51E3,fán,neutral,,,,
997,凤,U+51E4,fèng(16),neutral,鳳,surname Feng,丹凤|丹凤眼|丹凤县,7-9
998,凥,U+51E5,jū,neutral,,old variant of 居[ju1],,
999,処,U+51E6,chǔ,neutral,,old variant of 處|处[chu3],,
1000,凧,U+51E7,zhēng,neutral,,,,
1001,凨,U+51E8,fēng,neutral,,,,
1002,凩,U+51E9,mù,neutral,,,,
1003,凪,U+51EA,zhǐ,neutral,,,,
1004,凫,U+51EB,fú(12),simplified,鳧|鳬,mallard,棉凫|凫水|凫翁,
1005,凬,U+51EC,fēng,neutral,,,,
1006,凭,U+51ED,píng(134),neutral,憑,variant of 憑|凭[ping2],任凭|任凭风浪起，稳坐钓鱼台|口说无凭,5
1007,凮,U+51EE,fēng,neutral,,old variant of 風|风[feng1],,
1008,凯,U+51EF,kǎi,simplified,凱,surname Kai,凯利|凯夫拉|凯子,7-9
1009,凰,U+51F0,huáng(16),neutral,,used in 鳳凰|凤凰[feng4 huang2],鳳凰|凤凰|鳳凰古城,7-9
1010,凱,U+51F1,kǎi,traditional,凯,surname Kai,凱利|凱夫拉|凱子,7-9
1011,凲,U+51F2,gān,neutral,,,,
1012,凳,U+51F3,dèng(87),neutral,,bench,三角凳|兀凳|凳子,7-9
1013,凴,U+51F4,píng,traditional,𮰉,variant of 憑|凭[ping2],,
1014,凵,U+51F5,qiǎn|kǎn,neutral,,receptacle,,
1015,凶,U+51F6,xiōng(78),neutral,,terrible,雇凶|元凶|凶刀,6
1016,凷,U+51F7,kuài,neutral,,,,
1017,凸,U+51F8,tū(31),neutral,,to stick out; protruding; convex; male (connector etc),U凸內褲|U凸内裤|凸凸,7-9
1018,凹,U+51F9,āo(31)|wā,neutral,,concave; depressed; sunken; indented; female (connector etc),中央凹|凹入|凹凸,7-9
1019,出,U+51FA,chū(6753),neutral,齣,to go out; to come out,一言既出，駟馬難追|一言既出，驷马难追|一鼻孔出氣,1
1020,击,U+51FB,jī(644),simplified,擊,to hit,一击入洞|不堪一击|中间人攻击,5
1021,凼,U+51FC,dàng,neutral,,pool,凼子|凼肥|水凼,
1022,函,U+51FD,hán,neutral,,envelope,一次函數|一次函数|三角函數,7-9
1023,凾,U+51FE,hán,neutral,,,,
1024,凿,U+51FF,záo(34)|zuò,simplified,鑿,(bound form) chisel,圆凿方枘|妄生穿凿|方枘圆凿,7-9
1025,刀,U+5200,dāo(284)|diāo,neutral,,surname Dao,一刀兩斷|一刀两断|一刀切,3
1026,刁,U+5201,diāo,neutral,,surname Diao,刁婦|刁妇|刁悍,7-9
1027,刂,U+5202,dāo,neutral,,"Kangxi radical 18 (刀[dao1]) as a vertical side element, referred to as 立刀旁[li4 dao1 pang2] or 側刀旁|侧刀旁[ce4 dao1 pang2]",,
1028,刃,U+5203,rèn,neutral,,edge of blade,兩面刃|两面刃|兵不血刃,
1029,刄,U+5204,rèn,neutral,,,,
1030,刅,U+5205,chuāng,neutral,,,,
1031,分,U+5206,fēn(2405)|fèn(559)|fen(532),neutral,,to divide; to separate,一分一毫|一分為二|一分为二,1
1032,切,U+5207,qiè(998)|qiē(70)|qì,neutral,,to cut; to slice; to carve,一刀切|一切|一切向錢看,3
1033,刈,U+5208,yì,neutral,,mow,刈包|刈羽|柏崎刈羽,
1034,刉,U+5209,jī,neutral,,,,
1035,刊,U+520A,kān(50),neutral,,to print,不刊之論|不刊之论|亞洲周刊,6
1036,刋,U+520B,qiàn,neutral,,,,
1037,刌,U+520C,cǔn,neutral,,(literary) to cut off; to sever,,
1038,刍,U+520D,chú,simplified,芻,to mow or cut grass,反刍|反刍动物|反裘负刍,
1039,刎,U+520E,wěn,neutral,,cut across (throat),自刎,
1040,刏,U+520F,jī,neutral,,,,
1041,刐,U+5210,dǎn,neutral,,,,
1042,刑,U+5211,xíng(115),neutral,,surname Xing,上刑|五刑|刑事,7-9
1043,划,U+5212,huà(438)|huá(68)|guǒ|huai,neutral,劃,to row,下划线|不划算|人类基因组计划,2
1044,刓,U+5213,wán,neutral,,to trim,,
1045,刔,U+5214,jué,neutral,,,,
1046,刕,U+5215,lí,neutral,,,,
1047,刖,U+5216,yuè,neutral,,to amputate one or both feet (punishment in imperial China) (one of the five mutilating punishments 五刑[wu3 xing2]),,
1048,列,U+5217,liè(270)|lì,neutral,,to arrange,一系列|下列|不列顛,4
1049,刘,U+5218,liú,neutral,劉,surname Liu,刘伯温|刘备|刘光第,7-9
1050,则,U+5219,zé(535),simplified,則,(literary) (conjunction used to express contrast with a previous clause) but; then,一中原则|一则|一则以喜，一则以忧,4
1051,刚,U+521A,gāng(873),simplified,剛,hard,丈二金刚摸不着头脑|以柔克刚|刚一,2
1052,创,U+521B,chuàng(435)|chuāng(13),simplified,創,variant of 創|创[chuang4],主创|初创|初创公司,3
1053,刜,U+521C,fú,neutral,,to chop,,
1054,初,U+521D,chū(405),neutral,,at first,人之初，性本善|元末明初|凌濛初,3
1055,刞,U+521E,qù,neutral,,old variant of 耝[qu4],,
1056,刟,U+521F,diāo,neutral,,,,
1057,删,U+5220,shān,neutral,刪,to delete,侵删|删剪|删去,7-9
1058,刡,U+5221,mǐn,neutral,,to scrape; to pare,,
1059,刢,U+5222,líng,neutral,,,,
1060,刣,U+5223,zhōng,neutral,,,,
1061,判,U+5224,pàn(252),neutral,,(bound form) to differentiate; to distinguish,主裁判|五鬼鬧判|五鬼闹判,3
1062,別,U+5225,bié(2043)|biè(14),traditional,别,surname Bie,不加區別|不辭而別|中央人民政府駐香港特別行政區聯絡辦公室,1
1063,刦,U+5226,jié,neutral,,variant of 劫[jie2],,
1064,刧,U+5227,jié,neutral,,variant of 劫[jie2],,
1065,刨,U+5228,páo(12)|bào,neutral,,carpenter's plane,刨冰|刨刀|刨子,7-9
1066,利,U+5229,lì(1593)|li(16),neutral,,surname Li,一本萬利|一本万利|三得利,2
1067,刪,U+522A,shān,traditional,删,to delete,侵刪|刪剪|刪去,7-9
1068,别,U+522B,bié(2043)|biè(14),neutral,別|彆,surname Bie,不加区别|不辞而别|中央人民政府驻香港特别行政区联络办公室,1
1069,刬,U+522C,chàn,simplified,剗,variant of 鏟|铲[chan3],,
1070,刭,U+522D,jǐng,simplified,剄,cut the throat,,
1071,刮,U+522E,guā(105),neutral,颳,to scrape,刮傷|刮伤|刮刀,6
1072,刯,U+522F,gēng,neutral,,,,
1073,到,U+5230,dào(10331)|dao(18),neutral,,to reach; to arrive,一天到晚|一年到頭|一年到头,1
1074,刱,U+5231,chuàng,neutral,,variant of 創|创[chuang1],,
1075,刲,U+5232,kuī,neutral,,cut open and clean,,
1076,刳,U+5233,kū|kōu,neutral,,to cut open,,
1077,刴,U+5234,duò,neutral,,variant of 剁[duo4],,
1078,刵,U+5235,èr,neutral,,cutting off the ears as punishment,,
1079,制,U+5236,zhì(1850),neutral,製,system,AA制|AB制|JK制服,3
1080,刷,U+5237,shuā(140),neutral,,a brush,兩把刷子|两把刷子|凸版印刷,4
1081,券,U+5238,quàn|xuàn,neutral,,"bond (esp. document split in two, with each party holding one half)",上海證券交易所|上海证券交易所|上海證券交易所綜合股價指數,6
1082,刹,U+5239,shā(17)|chà(14),neutral,剎,"Buddhist monastery, temple or shrine (abbr. for 剎多羅|刹多罗[cha4 duo1 luo2], Sanskrit ""ksetra"")",一刹那|什刹海|刹不住,7-9
1083,刺,U+523A,cì(162)|qì,neutral,,(onom.) whoosh,倒刺|共刺激|刀片刺網,4
1084,刻,U+523B,kè(653)|kēi,neutral,,quarter (hour),一刻千金|一時半刻|一时半刻,2
1085,刼,U+523C,jié,neutral,,variant of 劫[jie2],,
1086,刽,U+523D,guì,simplified,劊,to amputate,刽子手,
1087,刾,U+523E,cì,neutral,㓨,old variant of 刺[ci4],,
1088,刿,U+523F,guì,simplified,劌,cut,,
1089,剀,U+5240,kǎi,simplified,剴,used in 剴切|剀切[kai3 qie4],剀切,
1090,剁,U+5241,duò,neutral,,to chop up (meat etc),剁手節|剁手节|剁手黨,
1091,剂,U+5242,jì(79),simplified,劑,(bound form) a compound made by mixing ingredients (esp. a medicinal or chemical product),中和剂|丸剂|乳剂,7-9
1092,剃,U+5243,tì,neutral,,to shave,剃光頭|剃光头|剃刀,7-9
1093,剄,U+5244,jǐng,traditional,刭,cut the throat,,
1094,剅,U+5245,dōu|lóu,neutral,,(dialect) an opening at the bottom of a dike for letting water in or out,,
1095,剆,U+5246,luǒ,neutral,,,,
1096,則,U+5247,zé(535),traditional,则,(literary) (conjunction used to express contrast with a previous clause) but; then,一中原則|一則|一則以喜，一則以憂,4
1097,剈,U+5248,yuān,neutral,,,,
1098,剉,U+5249,cuò,neutral,,(literary) to fracture (a bone),剉冰|剉屍,
1099,削,U+524A,xuē(194)|xiāo(33)|qiào|shào,neutral,,to peel with a knife,下旋削球|刀削麵|刀削面,7-9
1100,剋,U+524B,kè|kēi,traditional,克,"Ke (c. 2000 BC), seventh of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God",剋扣|剋星|剋架,2
1101,剌,U+524C,là|lá,neutral,,"variant of 拉[la2] (Note: 剌 was the character used prior to simplification and remains the standard in Taiwan, while in mainland China, 拉 has replaced 剌)",大剌剌|札馬剌丁|札马剌丁,
1102,前,U+524D,qián(3617)|jiǎn,neutral,,front,一往無前|一往无前|一往直前,1
1103,剎,U+524E,shā(17)|chà(14),traditional,刹,"Buddhist monastery, temple or shrine (abbr. for 剎多羅|刹多罗[cha4 duo1 luo2], Sanskrit ""ksetra"")",一剎那|什剎海|剎不住,7-9
1104,剏,U+524F,chuàng,neutral,,variant of 創|创[chuang4],,
1105,剐,U+5250,guǎ,simplified,剮,cut off the flesh as punishment,千刀万剐|舍得一身剐，敢把皇帝拉下马,
1106,剑,U+5251,jiàn(79),simplified,劍,double-edged sword,上方宝剑|佩剑|刀光剑影,6
1107,剒,U+5252,cuò,neutral,,to cut,,
1108,剓,U+5253,lí,neutral,,,,
1109,剔,U+5254,tī(12),neutral,,to scrape the meat from bones,剔牙|剔透|剔除,7-9
1110,剕,U+5255,fèi,neutral,,amputation of limbs as corporal punishment,,
1111,剖,U+5256,pōu(24)|pǒ,neutral,,to cut open,人體解剖|人体解剖|人體解剖學,7-9
1112,剗,U+5257,chǎn|chàn,traditional,刬,variant of 鏟|铲[chan3],,
1113,剘,U+5258,qí,neutral,,,,
1114,剙,U+5259,chuàng,neutral,,variant of 創|创[chuang4],,
1115,剚,U+525A,zì,neutral,,erect,,
1116,剛,U+525B,gāng(873),traditional,刚,hard,丈二金剛摸不著頭腦|以柔克剛|剛一,2
1117,剜,U+525C,wān,neutral,,to scoop out,,
1118,剝,U+525D,bō(212),traditional,剥,to peel,刻剝|剝削|剝削者,7-9
1119,剞,U+525E,jī,neutral,,used in 剞劂[ji1 jue2],剞劂,
1120,剟,U+525F,duō|chì,neutral,,to prick,,
1121,剠,U+5260,qíng|lüè,neutral,,,,
1122,剡,U+5261,yǎn|shàn,neutral,,river in Zhejiang,,
1123,剢,U+5262,dū|zhuó,neutral,,,,
1124,剣,U+5263,jiàn,neutral,,Japanese variant of 劍|剑,,
1125,剤,U+5264,jì,neutral,,Japanese variant of 劑|剂,,
1126,剥,U+5265,bō(212)|bāo|pū,simplified,剝,to peel,刻剥|剥削|剥削者,7-9
1127,剦,U+5266,yān,neutral,,,,
1128,剧,U+5267,jù(123),neutral,劇,"theatrical work (play, opera, TV series etc)",IP剧|上星剧|上海大剧院,3
1129,剨,U+5268,huò,neutral,,,,
1130,剩,U+5269,shèng(199),neutral,,to remain,中國剩餘定理|中国剩余定理|剩下,5
1131,剪,U+526A,jiǎn(39),neutral,,surname Jian,修剪|刪剪|删剪,5
1132,剫,U+526B,duó|dù,neutral,,,,
1133,剬,U+526C,duān|tuán|zhì,neutral,,,,
1134,剭,U+526D,wū,neutral,,,,
1135,剮,U+526E,guǎ,traditional,剐,cut off the flesh as punishment,千刀萬剮|捨得一身剮，敢把皇帝拉下馬,
1136,副,U+526F,fù(313)|pì,neutral,,secondary,二副|全副|全副武裝,6
1137,剰,U+5270,shèng,neutral,,Japanese variant of 剩[sheng4],,
1138,剱,U+5271,jiàn,neutral,,,,
1139,割,U+5272,gē(128),neutral,,to cut,不可分割|交割|任人宰割,7-9
1140,剳,U+5273,dá|zhá,neutral,,hook,,
1141,剴,U+5274,kǎi|āi,traditional,剀,used in 剴切|剀切[kai3 qie4],剴切,
1142,創,U+5275,chuàng(435)|chuāng(13)|qiāng,traditional,创,(bound form) a wound; to wound,主創|初創|初創公司,3
1143,剶,U+5276,chuān,neutral,,,,
1144,剷,U+5277,chǎn,neutral,,to scrape the ground with a spade (to make it level or to remove weeds); to shovel,剷平|剷除,
1145,剸,U+5278,tuán|zhuān|zhuàn,traditional,𰄞,slash,,
1146,剹,U+5279,lù|jiū,neutral,,to peel with a knife,,
1147,剺,U+527A,lí,neutral,,mark,,
1148,剻,U+527B,pěng,neutral,,,,
1149,剼,U+527C,shān,neutral,,,,
1150,剽,U+527D,piào|piāo|piáo|biǎo|biāo,neutral,,to rob,剽悍|剽竊|剽窃,
1151,剾,U+527E,kōu,traditional,𠛅,,,
1152,剿,U+527F,jiǎo(25)|chāo,neutral,,to plagiarize,剿匪|剿滅|剿灭,
1153,劀,U+5280,guā,neutral,,(archaic) to scrape away decayed flesh or pus,,
1154,劁,U+5281,qiáo|qiāo,neutral,,to neuter livestock,,
1155,劂,U+5282,jué,neutral,,used in 剞劂[ji1 jue2],剞劂,
1156,劃,U+5283,huá|huà|huai,traditional,划,to cut,下劃線|人類基因組計劃|企劃,2
1157,劄,U+5284,zhā|zhá,neutral,,to prick with a needle,書劄|目劄,
1158,劅,U+5285,zhuó,neutral,,,,
1159,劆,U+5286,lián,neutral,,,,
1160,劇,U+5287,jù(123),traditional,剧,"theatrical work (play, opera, TV series etc)",IP劇|上星劇|上海大劇院,3
1161,劈,U+5288,pī(17),neutral,,to hack,劈叉|劈哩啪啦|劈啪,7-9
1162,劉,U+5289,liú,traditional,刘,surname Liu,劉伯溫|劉備|劉光第,7-9
1163,劊,U+528A,guì,traditional,刽,to amputate,劊子手,
1164,劋,U+528B,jiǎo|chāo,neutral,,,,
1165,劌,U+528C,guì,traditional,刿,cut,,
1166,劍,U+528D,jiàn(79),traditional,剑,double-edged sword,上方寶劍|佩劍|刀光劍影,6
1167,劎,U+528E,jiàn,neutral,,,,
1168,劏,U+528F,tāng,traditional,㓥,,,
1169,劐,U+5290,huō|huò|huá,neutral,,(coll.) to slit with a knife,劐弄,
1170,劑,U+5291,jì(79),traditional,剂,(bound form) a compound made by mixing ingredients (esp. a medicinal or chemical product),中和劑|丸劑|乳劑,7-9
1171,劒,U+5292,jiàn,neutral,,variant of 劍|剑[jian4],,
1172,劓,U+5293,yì,neutral,,cut off the nose,,
1173,劔,U+5294,jiàn,neutral,,,,
1174,劕,U+5295,zhì,neutral,,,,
1175,劖,U+5296,chán,neutral,,bore,,
1176,劗,U+5297,zuān|jiǎn,traditional,𭄛,,,
1177,劘,U+5298,mó|mí,neutral,,whittle,,
1178,劙,U+5299,lí,neutral,,"a divide, to partition",,
1179,劚,U+529A,zhǔ,traditional,㔉,,,
1180,力,U+529B,lì(2488)|li(97),neutral,,surname Li,一力降十會|一力降十会|不力,2
1181,劜,U+529C,yà,neutral,,,,
1182,劝,U+529D,quàn(121),neutral,勸,to advise,劝勉|劝动|劝化,5
1183,办,U+529E,bàn(1187),neutral,辦,"to take care of (a matter); to deal with (a task, procedure etc); to organize (an event)",一手包办|中共中央办公厅|中央人民政府驻香港特别行政区联络办公室,2
1184,功,U+529F,gōng(381),neutral,,meritorious deed or service,一舉成功|一举成功|下功夫,3
1185,加,U+52A0,jiā(1861),neutral,,Canada (abbr. for 加拿大[Jia1 na2 da4]),丁加奴|不加|不加修飾,2
1186,务,U+52A1,wu(473)|wù(445),simplified,務,affair,一条龙服务|不务正业|不急之务,2
1187,劢,U+52A2,mài,simplified,勱,put forth effort,,
1188,劣,U+52A3,liè(26),neutral,,inferior,低劣|假冒偽劣|假冒伪劣,7-9
1189,劤,U+52A4,jìn,neutral,,,,
1190,劥,U+52A5,kēng,neutral,,,,
1191,劦,U+52A6,xié|liè,neutral,,unending exertion,,
1192,劧,U+52A7,zhǐ,neutral,,,,
1193,动,U+52A8,dòng(5030),neutral,動,(of sth) to move,一二九运动|一动不动|一无所动,1
1194,助,U+52A9,zhù(464)|chú,neutral,,to help,互助|個人數字助理|个人数字助理,2
1195,努,U+52AA,nǔ(251),neutral,,to exert,亞努科維奇|亚努科维奇|加大努力,2
1196,劫,U+52AB,jié,neutral,,variant of 劫[jie2],乘火打劫|劫匪|劫囚,7-9
1197,劬,U+52AC,qú,neutral,,labor,,
1198,劭,U+52AD,shào,neutral,,surname Shao,年高德劭|柯劭忞,
1199,劮,U+52AE,yì,neutral,,old variant of 逸[yi4],,
1200,劯,U+52AF,zhū,neutral,,,,
1201,劰,U+52B0,mò,neutral,,,,
1202,励,U+52B1,lì(93),neutral,勵,surname Li,勉励|励志|励志哥,5
1203,劲,U+52B2,jìn(294)|jìng,simplified,勁,strength,Q劲|一个劲|一个劲儿,4
1204,劳,U+52B3,láo(856),neutral,勞,(bound form) to toil; labor,一劳永逸|不劳而获|不辞劳苦,5
1205,労,U+52B4,láo,neutral,,Japanese variant of 勞|劳,,
1206,劵,U+52B5,juàn,neutral,,variant of 券[quan4],,
1207,劶,U+52B6,kǒu,neutral,,,,
1208,劷,U+52B7,yáng,neutral,,,,
1209,劸,U+52B8,wā,neutral,,,,
1210,効,U+52B9,xiào,neutral,,variant of 效[xiao4],,
1211,劺,U+52BA,móu,neutral,,,,
1212,劻,U+52BB,kuāng,neutral,,zealous,,
1213,劼,U+52BC,jié,neutral,,careful,李劼人,
1214,劽,U+52BD,liè,neutral,,,,
1215,劾,U+52BE,hé|kài,neutral,,to impeach,參劾|参劾|彈劾,
1216,势,U+52BF,shì(442)|shi(10),neutral,勢,power,上升趋势|上扬趋势|乘势,3
1217,勀,U+52C0,kè,neutral,,,,
1218,勁,U+52C1,jìn(294)|jìng,traditional,劲,strength,Q勁|一個勁|一個勁兒,4
1219,勂,U+52C2,gào,neutral,,,,
1220,勃,U+52C3,bó(54),neutral,,flourishing,克格勃|勃列日涅夫|勃利,7-9
1221,勄,U+52C4,mǐn,neutral,,old variant of 敏[min3],,
1222,勅,U+52C5,chì,neutral,,variant of 敕[chi4],,
1223,勆,U+52C6,láng,neutral,,,,
1224,勇,U+52C7,yǒng(223),neutral,,brave,勇力|勇士|勇往前進,4
1225,勈,U+52C8,yǒng,neutral,,old variant of 勇[yong3],,
1226,勉,U+52C9,miǎn(37),neutral,,to exhort,互勉|勉力|勉力而為,7-9
1227,勊,U+52CA,kè,neutral,,,,
1228,勋,U+52CB,xūn,simplified,勛,medal,元勋|光禄勋|功勋,7-9
1229,勌,U+52CC,juàn|juān,neutral,,old variant of 倦[juan4],,
1230,勍,U+52CD,qíng,neutral,,violent,,
1231,勎,U+52CE,lù,neutral,,,,
1232,勏,U+52CF,bù,neutral,,,,
1233,勐,U+52D0,měng,neutral,,meng (old administrative division in Dai areas of Yunnan),勐海|勐海縣|勐海县,
1234,勑,U+52D1,lài|chì,traditional,𠡠,variant of 敕[chi4],,
